id,trips,trip_length,trips_new,drop_ratio,tagging_num,delete_nums,tagging_labels,num_labels,trips_sparse
5956221,"904,19255213.81967434,3473491.8811674896,1478298095;905,19255435.472509008,3473433.558827925,1478298107;906,19255721.746065177,3473357.326632753,1478298122;907,19256039.46847644,3473272.854372242,1478298137;876,19256332.48607772,3473194.7943753223,1478298152;877,19256668.319823176,3473104.8886872693,1478298167;878,19256931.978289746,3473009.957575064,1478298179;847,19257243.88908701,3472874.117351676,1478298194;817,19257886.93770525,3472589.0086985333,1478298221;818,19258178.34759145,3472469.435304441,1478298234;819,19258448.90590015,3472397.8499771133,1478298245;820,19258720.459654298,3472351.210463784,1478298257;821,19259006.726241425,3472304.0332094785,1478298269",13,"415,19255213.81967434,3473491.8811674896, 1478298095;173,19255435.472509008,3473433.558827925, 1478298107;174,19255721.746065177,3473357.326632753, 1478298122;416,19256039.46847644,3473272.854372242, 1478298137;417,19256332.48607772,3473194.7943753223, 1478298152;329,19256668.319823176,3473104.8886872693, 1478298167;330,19256931.978289746,3473009.957575064, 1478298179;418,19257243.88908701,3472874.117351676, 1478298194;206,19257886.93770525,3472589.0086985333, 1478298221;207,19258178.34759145,3472469.435304441, 1478298234;208,19258448.90590015,3472397.8499771133, 1478298245;209,19258720.459654298,3472351.210463784, 1478298257;475,19259006.726241425,3472304.0332094785, 1478298269",0.5,1,6,"[0, 0, 6, 0, 0, 0, 0]","[0, 0, 6, 0, 0, 0, 0]","[[415, 19255213.81967434, 3473491.8811674896, 1478298095], [173, 19255435.472509008, 3473433.558827925, 1478298107], [174, 19255721.746065177, 3473357.326632753, 1478298122], [207, 19258178.34759145, 3472469.435304441, 1478298234], [208, 19258448.90590015, 3472397.8499771133, 1478298245], [209, 19258720.459654298, 3472351.210463784, 1478298257], [475, 19259006.726241425, 3472304.0332094785, 1478298269]]"
173719,"780,19256550.304526582,3472198.865008802,1478280123;748,19256540.12343586,3471936.234098359,1478280135;717,19256643.410583504,3471695.4106289656,1478280147;686,19256920.14817144,3471368.118948843,1478280168;654,19257005.87122079,3471069.14165992,1478280183;622,19257039.08665501,3470791.159621395,1478280195;590,19257071.488242425,3470489.3964553247,1478280210;558,19257075.826524705,3470165.93153004,1478280228;526,19257038.801757857,3469891.698270431,1478280276;494,19256982.160643622,3469592.4877421134,1478280378;526,19257068.21934637,3469606.2121100705,1478280420;527,19257240.952884387,3469714.3376775403,1478280474;495,19257462.036234204,3469589.362154452,1478280501",13,"326,19256550.304526582,3472198.865008802, 1478280123;96,19256540.12343586,3471936.234098359, 1478280135;324,19256643.410583504,3471695.4106289656, 1478280147;323,19256920.14817144,3471368.118948843, 1478280168;407,19257005.87122079,3471069.14165992, 1478280183;322,19257039.08665501,3470791.159621395, 1478280195;406,19257071.488242425,3470489.3964553247, 1478280210;405,19257075.826524705,3470165.93153004, 1478280228;162,19257038.801757857,3469891.698270431, 1478280276;321,19256982.160643622,3469592.4877421134, 1478280378;162,19257068.21934637,3469606.2121100705, 1478280420;163,19257240.952884387,3469714.3376775403, 1478280474;442,19257462.036234204,3469589.362154452, 1478280501",0.5,4,5,"[0, 2, 0, 1, 1, 1, 0, 0]","[0, 2, 0, 1, 1, 1, 0, 0]","[[326, 19256550.304526582, 3472198.865008802, 1478280123], [96, 19256540.12343586, 3471936.234098359, 1478280135], [407, 19257005.87122079, 3471069.14165992, 1478280183], [322, 19257039.08665501, 3470791.159621395, 1478280195], [405, 19257075.826524705, 3470165.93153004, 1478280228], [321, 19256982.160643622, 3469592.4877421134, 1478280378], [163, 19257240.952884387, 3469714.3376775403, 1478280474], [442, 19257462.036234204, 3469589.362154452, 1478280501]]"
1302168,"371,19258589.090381365,3468102.9463826725,1478272179;372,19258707.952788904,3468236.862058319,1478272194;404,19258822.33784396,3468399.729305941,1478272209;372,19258782.28895953,3468385.078071879,1478272254;371,19258700.459365256,3468282.078562816,1478272272;339,19258515.603254262,3468079.701796672,1478272305;338,19258403.48254641,3467952.965740544,1478272323;306,19258255.093765844,3467784.999396399,1478272371;305,19258097.647585016,3467648.801831744,1478272398;337,19257842.314030662,3467801.5318718622,1478272422",10,"121,19258589.090381365,3468102.9463826725, 1478272179;122,19258707.952788904,3468236.862058319, 1478272194;123,19258822.33784396,3468399.729305941, 1478272209;122,19258782.28895953,3468385.078071879, 1478272254;121,19258700.459365256,3468282.078562816, 1478272272;120,19258515.603254262,3468079.701796672, 1478272305;119,19258403.48254641,3467952.965740544, 1478272323;118,19258255.093765844,3467784.999396399, 1478272371;142,19258097.647585016,3467648.801831744, 1478272398;466,19257842.314030662,3467801.5318718622, 1478272422",0.6,4,5,"[1, 2, 1, 1, 0]","[1, 2, 1, 1, 0]","[[121, 19258589.090381365, 3468102.9463826725, 1478272179], [123, 19258822.33784396, 3468399.729305941, 1478272209], [120, 19258515.603254262, 3468079.701796672, 1478272305], [118, 19258255.093765844, 3467784.999396399, 1478272371], [466, 19257842.314030662, 3467801.5318718622, 1478272422]]"
7634612,"80,19257515.02123048,3465405.4744918584,1478794055;79,19257478.026886493,3465475.763433381,1478794076;80,19257506.228779547,3465565.695685835,1478794103;112,19257583.59326196,3465714.675678701,1478794124;144,19257691.96922512,3466011.2503203927,1478794250;145,19257814.22823324,3466216.373032221,1478794280;177,19257876.26273536,3466318.26145132,1478794292;176,19257798.715060256,3466537.700001629,1478794325;175,19257495.322880067,3466481.1848913888,1478794421;207,19257328.643671017,3466601.9620635966,1478794451;208,19257510.500289787,3466896.711611614,1478794487",11,"432,19257515.02123048,3465405.4744918584, 1478794055;433,19257478.026886493,3465475.763433381, 1478794076;432,19257506.228779547,3465565.695685835, 1478794103;431,19257583.59326196,3465714.675678701, 1478794124;562,19257691.96922512,3466011.2503203927, 1478794250;482,19257814.22823324,3466216.373032221, 1478794280;420,19257876.26273536,3466318.26145132, 1478794292;53,19257798.715060256,3466537.700001629, 1478794325;51,19257495.322880067,3466481.1848913888, 1478794421;55,19257328.643671017,3466601.9620635966, 1478794451;54,19257510.500289787,3466896.711611614, 1478794487",0.2,2,2,"[0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0]","[[432, 19257515.02123048, 3465405.4744918584, 1478794055], [433, 19257478.026886493, 3465475.763433381, 1478794076], [432, 19257506.228779547, 3465565.695685835, 1478794103], [431, 19257583.59326196, 3465714.675678701, 1478794124], [562, 19257691.96922512, 3466011.2503203927, 1478794250], [420, 19257876.26273536, 3466318.26145132, 1478794292], [53, 19257798.715060256, 3466537.700001629, 1478794325], [51, 19257495.322880067, 3466481.1848913888, 1478794421], [54, 19257510.500289787, 3466896.711611614, 1478794487]]"
2465144,"243,19258673.2542698,3467132.3885024143,1478346292;242,19258401.888813287,3467073.1286752247,1478346355;274,19258344.365528163,3467211.7437054603,1478346376;306,19258180.176328007,3467514.066287172,1478346403;338,19258305.43580138,3467812.08050265,1478346430;339,19258414.95928476,3467933.431562552,1478346442;371,19258605.99559867,3468121.435953734,1478346488;372,19258705.75113958,3468234.8453498394,1478346519;404,19258831.40687308,3468410.039764122,1478346575;465,19258094.76076417,3469153.421591715,1478346695;496,19257700.3039916,3469443.0719492133,1478346791;527,19257489.4085899,3469613.430187122,1478346848;526,19257190.957865667,3469748.6607602816,1478346893;525,19256901.34757794,3469782.839417054,1478346931;524,19256595.58636497,3469821.25701769,1478346950;523,19256060.2564636,3469893.778693072,1478346986;553,19255659.791268915,3469943.6169022336,1478347013;552,19255333.086614337,3469985.905349974,1478347025;551,19255099.58437194,3470019.4177016662,1478347052;550,19254789.29121141,3470058.719107931,1478347082;549,19254484.455723826,3470094.0115125715,1478347145;548,19254187.716059625,3470097.6747225937,1478347214;580,19253926.73362558,3470205.160712736,1478347298",23,"435,19258673.2542698,3467132.3885024143, 1478346292;116,19258401.888813287,3467073.1286752247, 1478346355;117,19258344.365528163,3467211.7437054603, 1478346376;118,19258180.176328007,3467514.066287172, 1478346403;119,19258305.43580138,3467812.08050265, 1478346430;120,19258414.95928476,3467933.431562552, 1478346442;121,19258605.99559867,3468121.435953734, 1478346488;122,19258705.75113958,3468234.8453498394, 1478346519;123,19258831.40687308,3468410.039764122, 1478346575;164,19258094.76076417,3469153.421591715, 1478346695;184,19257700.3039916,3469443.0719492133, 1478346791;163,19257489.4085899,3469613.430187122, 1478346848;162,19257190.957865667,3469748.6607602816, 1478346893;161,19256901.34757794,3469782.839417054, 1478346931;160,19256595.58636497,3469821.25701769, 1478346950;159,19256060.2564636,3469893.778693072, 1478346986;82,19255659.791268915,3469943.6169022336, 1478347013;83,19255333.086614337,3469985.905349974, 1478347025;84,19255099.58437194,3470019.4177016662, 1478347052;7,19254789.29121141,3470058.719107931, 1478347082;85,19254484.455723826,3470094.0115125715, 1478347145;86,19254187.716059625,3470097.6747225937, 1478347214;106,19253926.73362558,3470205.160712736, 1478347298",0.3,4,5,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0]","[[435, 19258673.2542698, 3467132.3885024143, 1478346292], [116, 19258401.888813287, 3467073.1286752247, 1478346355], [117, 19258344.365528163, 3467211.7437054603, 1478346376], [118, 19258180.176328007, 3467514.066287172, 1478346403], [119, 19258305.43580138, 3467812.08050265, 1478346430], [120, 19258414.95928476, 3467933.431562552, 1478346442], [121, 19258605.99559867, 3468121.435953734, 1478346488], [122, 19258705.75113958, 3468234.8453498394, 1478346519], [164, 19258094.76076417, 3469153.421591715, 1478346695], [163, 19257489.4085899, 3469613.430187122, 1478346848], [162, 19257190.957865667, 3469748.6607602816, 1478346893], [161, 19256901.34757794, 3469782.839417054, 1478346931], [160, 19256595.58636497, 3469821.25701769, 1478346950], [159, 19256060.2564636, 3469893.778693072, 1478346986], [84, 19255099.58437194, 3470019.4177016662, 1478347052], [85, 19254484.455723826, 3470094.0115125715, 1478347145], [86, 19254187.716059625, 3470097.6747225937, 1478347214], [106, 19253926.73362558, 3470205.160712736, 1478347298]]"
3393019,"644,19253974.82477056,3470806.825017988,1478365055;676,19254079.21307676,3471119.633528148,1478365127;708,19254111.35124017,3471418.355093679,1478365157;804,19253978.093660794,3472345.4914511484,1478365311;803,19253900.669722643,3472495.84309484,1478365341;835,19253839.9921608,3472613.473938552,1478365377;868,19253926.46026067,3472923.8681503595,1478365425;901,19254230.331620306,3473199.0560660907,1478365446;902,19254558.84025773,3473291.602794683,1478365533;903,19254818.661714666,3473258.205228204,1478365575;871,19255019.04900121,3473194.418294634,1478365587;872,19255116.329215977,3473154.3517612,1478365662;873,19255404.5228078,3472977.7552809184,1478365692",13,"507,19253974.82477056,3470806.825017988, 1478365055;508,19254079.21307676,3471119.633528148, 1478365127;509,19254111.35124017,3471418.355093679, 1478365157;575,19253978.093660794,3472345.4914511484, 1478365311;574,19253900.669722643,3472495.84309484, 1478365341;181,19253839.9921608,3472613.473938552, 1478365377;180,19253926.46026067,3472923.8681503595, 1478365425;179,19254230.331620306,3473199.0560660907, 1478365446;516,19254558.84025773,3473291.602794683, 1478365533;517,19254818.661714666,3473258.205228204, 1478365575;518,19255019.04900121,3473194.418294634, 1478365587;519,19255116.329215977,3473154.3517612, 1478365662;520,19255404.5228078,3472977.7552809184, 1478365692",0.2,1,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[[507, 19253974.82477056, 3470806.825017988, 1478365055], [508, 19254079.21307676, 3471119.633528148, 1478365127], [509, 19254111.35124017, 3471418.355093679, 1478365157], [575, 19253978.093660794, 3472345.4914511484, 1478365311], [180, 19253926.46026067, 3472923.8681503595, 1478365425], [179, 19254230.331620306, 3473199.0560660907, 1478365446], [516, 19254558.84025773, 3473291.602794683, 1478365533], [517, 19254818.661714666, 3473258.205228204, 1478365575], [518, 19255019.04900121, 3473194.418294634, 1478365587], [519, 19255116.329215977, 3473154.3517612, 1478365662], [520, 19255404.5228078, 3472977.7552809184, 1478365692]]"
2583100,"395,19256005.61772907,3468438.8644827325,1478293875;427,19256079.181842346,3468706.5012790966,1478293947;459,19256183.42075797,3469294.6205528937,1478294090;491,19256187.75745204,3469331.636019803,1478294133;523,19256229.50576985,3469604.1781593794,1478294157;524,19256323.336045984,3469835.293428024,1478294190;525,19256629.18187372,3469797.9503463,1478294220;526,19256926.856655933,3469749.1231609085,1478294301;527,19257212.203910623,3469712.0414095432,1478294325;495,19257498.24630398,3469571.454166539,1478294376",10,"404,19256005.61772907,3468438.8644827325, 1478293875;70,19256079.181842346,3468706.5012790966, 1478293947;71,19256183.42075797,3469294.6205528937, 1478294090;72,19256187.75745204,3469331.636019803, 1478294133;159,19256229.50576985,3469604.1781593794, 1478294157;160,19256323.336045984,3469835.293428024, 1478294190;161,19256629.18187372,3469797.9503463, 1478294220;162,19256926.856655933,3469749.1231609085, 1478294301;163,19257212.203910623,3469712.0414095432, 1478294325;442,19257498.24630398,3469571.454166539, 1478294376",0.5,2,4,"[0, 0, 0, 2, 2, 0]","[0, 0, 0, 2, 2, 0]","[[404, 19256005.61772907, 3468438.8644827325, 1478293875], [70, 19256079.181842346, 3468706.5012790966, 1478293947], [71, 19256183.42075797, 3469294.6205528937, 1478294090], [72, 19256187.75745204, 3469331.636019803, 1478294133], [161, 19256629.18187372, 3469797.9503463, 1478294220], [442, 19257498.24630398, 3469571.454166539, 1478294376]]"
5049754,"269,19256668.886942606,3467201.5939590763,1478524619;268,19256603.154449098,3467252.564091621,1478524634;267,19256300.712919816,3467412.249096157,1478524695;235,19256103.37902236,3467194.4970570207,1478524749;234,19255993.43013746,3467043.7465290595,1478524776;233,19255703.64997904,3467025.765286857,1478524851;201,19255631.95343479,3466883.0066892644,1478524926;169,19255592.5643538,3466588.5672638444,1478524962;137,19255569.29451335,3466280.8424019264,1478525025;105,19255545.22438897,3465991.4087336664,1478525050;73,19255523.14332395,3465693.777530161,1478525079;41,19255433.89803905,3465392.734803844,1478525133;40,19255395.19359165,3465347.282299476,1478525145",13,"59,19256668.886942606,3467201.5939590763, 1478524619;193,19256603.154449098,3467252.564091621, 1478524634;400,19256300.712919816,3467412.249096157, 1478524695;268,19256103.37902236,3467194.4970570207, 1478524749;267,19255993.43013746,3467043.7465290595, 1478524776;246,19255703.64997904,3467025.765286857, 1478524851;247,19255631.95343479,3466883.0066892644, 1478524926;349,19255592.5643538,3466588.5672638444, 1478524962;251,19255569.29451335,3466280.8424019264, 1478525025;67,19255545.22438897,3465991.4087336664, 1478525050;43,19255523.14332395,3465693.777530161, 1478525079;44,19255433.89803905,3465392.734803844, 1478525133;524,19255395.19359165,3465347.282299476, 1478525145",0.6,2,6,"[0, 0, 0, 0, 2, 4, 0]","[0, 0, 0, 0, 2, 4, 0]","[[59, 19256668.886942606, 3467201.5939590763, 1478524619], [193, 19256603.154449098, 3467252.564091621, 1478524634], [400, 19256300.712919816, 3467412.249096157, 1478524695], [268, 19256103.37902236, 3467194.4970570207, 1478524749], [267, 19255993.43013746, 3467043.7465290595, 1478524776], [349, 19255592.5643538, 3466588.5672638444, 1478524962], [524, 19255395.19359165, 3465347.282299476, 1478525145]]"
1814004,"385,19253097.272857785,3468418.665730038,1478748371;418,19253323.262886167,3468756.6821832103,1478748407;419,19253632.935959466,3468896.976981419,1478748440;420,19253937.73709205,3468928.695244626,1478748473;388,19254105.081496663,3468666.374015043,1478748515;357,19254213.010984834,3468390.7057444323,1478748546;326,19254512.70388529,3468085.3210983933,1478748591;327,19254818.67836153,3467874.797617148,1478748708;295,19254940.912380844,3467787.44057613,1478748720;296,19255124.89953475,3467657.4868953777,1478748738;264,19255357.63804773,3467491.0557742883,1478748765",11,"398,19253097.272857785,3468418.665730038, 1478748371;366,19253323.262886167,3468756.6821832103, 1478748407;367,19253632.935959466,3468896.976981419, 1478748440;102,19253937.73709205,3468928.695244626, 1478748473;17,19254105.081496663,3468666.374015043, 1478748515;16,19254213.010984834,3468390.7057444323, 1478748546;75,19254512.70388529,3468085.3210983933, 1478748591;48,19254818.67836153,3467874.797617148, 1478748708;76,19254940.912380844,3467787.44057613, 1478748720;77,19255124.89953475,3467657.4868953777, 1478748738;78,19255357.63804773,3467491.0557742883, 1478748765",0.3,2,3,"[0, 0, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 2, 0, 1, 0]","[[398, 19253097.272857785, 3468418.665730038, 1478748371], [366, 19253323.262886167, 3468756.6821832103, 1478748407], [367, 19253632.935959466, 3468896.976981419, 1478748440], [102, 19253937.73709205, 3468928.695244626, 1478748473], [17, 19254105.081496663, 3468666.374015043, 1478748515], [48, 19254818.67836153, 3467874.797617148, 1478748708], [76, 19254940.912380844, 3467787.44057613, 1478748720], [78, 19255357.63804773, 3467491.0557742883, 1478748765]]"
1962126,"395,19256234.976678405,3468410.558118245,1478422612;427,19256092.11482656,3468716.34123732,1478422657;426,19255968.71135072,3468894.737690409,1478422750;425,19255687.26192841,3468930.416780731,1478422774;424,19255373.08102656,3468971.176245927,1478422873;455,19255072.501360405,3469010.3755360227,1478422897;454,19254780.41441183,3469046.340901501,1478422918;453,19254482.58910032,3469007.970585193,1478422966;421,19254390.253997963,3468998.531920659,1478422981;420,19254199.48176804,3468986.085411695,1478423005",10,"404,19256234.976678405,3468410.558118245, 1478422612;70,19256092.11482656,3468716.34123732, 1478422657;232,19255968.71135072,3468894.737690409, 1478422750;69,19255687.26192841,3468930.416780731, 1478422774;68,19255373.08102656,3468971.176245927, 1478422873;145,19255072.501360405,3469010.3755360227, 1478422897;10,19254780.41441183,3469046.340901501, 1478422918;11,19254482.58910032,3469007.970585193, 1478422966;146,19254390.253997963,3468998.531920659, 1478422981;102,19254199.48176804,3468986.085411695, 1478423005",0.4,1,4,"[0, 0, 0, 4, 0, 0]","[0, 0, 0, 4, 0, 0]","[[404, 19256234.976678405, 3468410.558118245, 1478422612], [70, 19256092.11482656, 3468716.34123732, 1478422657], [232, 19255968.71135072, 3468894.737690409, 1478422750], [69, 19255687.26192841, 3468930.416780731, 1478422774], [146, 19254390.253997963, 3468998.531920659, 1478422981], [102, 19254199.48176804, 3468986.085411695, 1478423005]]"
